film_id,nota_modelo,nota_gemini,evaluada,nota_lineal
tokyo-story,9.872786187579905,10.0,True,8.942387809531409
close-up,9.756701559704117,9.5,True,8.957299606552903
the-headless-woman,9.72729324013769,9.5,True,9.481863130642147
all-we-imagine-as-light,9.725525850150497,10.0,True,9.793190593889474
secret-sunshine,9.679505930070343,9.6,True,10.488200686254572
taipei-suicide-story,9.674753358863654,,False,11.674157032950404
women-workers-leaving-the-factory,9.65655759598877,9.5,True,9.921839712695325
love-life,9.637427014268429,9.3,True,9.405984037186936
the-novelists-film,9.628316092574327,9.5,True,8.568776681837315
cleo-from-5-to-7,9.624789403665805,9.7,True,9.425646551777538
shoplifters,9.597525418104594,9.8,True,9.466212267390372
the-seventh-seal,9.523475265233627,,False,9.284517502104295
certain-women,9.519679676056422,10.0,True,9.819605161791907
2046,9.514288924574618,,False,8.914502129460885
personal-shopper,9.509402819497632,9.0,True,9.602214335788714
stalker,9.502713766790393,10.0,True,9.38124321566897
the-green-ray,9.498929450924242,9.8,True,9.464342669537551
close-your-eyes,9.478674871183077,9.5,True,8.96525018984734
persona,9.474734711010354,9.5,True,9.341454542206657
werckmeister-harmonies,9.42786959185017,10.0,True,9.418282687857515
woman-in-the-dunes,9.42735774681747,9.5,True,9.480815464027254
columbus,9.410117107646807,9.8,True,10.038386477255285
sentimental-value,9.356775342025426,,False,10.270291459781099
a-woman-under-the-influence,9.355066564350768,9.8,True,9.189762607624434
india-song,9.33864698774068,9.5,True,9.898117452338102
the-tree-of-life,9.33270429713945,9.2,True,9.828163235004574
spring-summer-fall-winter-and-spring,9.322605421825402,9.0,True,9.68226302173716
neon-genesis-evangelion-the-end-of-evangelion,9.322471220800107,9.8,True,9.614991596852235
train-dreams,9.308808093901323,,False,9.535514058107134
ghost-in-the-shell,9.308467697025772,9.0,True,8.717309325578968
in-the-mood-for-love,9.300998952054206,9.5,True,8.518064367814114
vivre-sa-vie,9.299330367885682,9.5,True,9.253875568456706
portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,9.29632238243813,8.8,True,9.615648372894608
paterson,9.29471026939835,9.8,True,8.536372613757068
riceboy-sleeps,9.282430832222353,9.7,True,9.270783548036063
neon-genesis-evangelion,9.28156521412188,,False,8.619049872879806
norte-the-end-of-history,9.26555954817991,9.6,True,9.30189423969458
bicycle-thieves,9.242085647036914,9.8,True,9.23080251241601
raise-the-red-lantern,9.226042014993933,9.2,True,9.38753673859065
happy-together,9.218376184752916,,False,8.410666752134599
4-months-3-weeks-and-2-days,9.194769002077283,9.5,True,9.660261876968036
the-disciple,9.19371159116729,8.8,True,8.03489377083723
melancholia,9.186957920448238,9.5,True,9.833145044174131
portrait-of-a-lady-on-fire,9.174658841496449,,False,9.151293733258443
zama,9.172129541791918,9.5,True,9.68516477668632
chungking-express,9.160424709114782,,False,8.075402124365887
under-the-skin,9.150315748058084,,False,9.542273849976128
fallen-leaves,9.10778810680123,9.5,True,8.914272369563493
viola,9.088290846022389,9.4,True,8.685536109713272
the-souvenir-part-ii,9.086966704077119,9.6,True,8.942597994611
extraordinary-stories,9.07617400786604,8.5,True,8.974911410768717
little-forest-summer-autumn,9.02870629683536,9.5,True,8.873059126981863
the-girl-with-the-needle,9.002382246733973,9.0,True,9.938237491696887
princess-mononoke,8.989943719848924,,False,8.634540145946508
seven-samurai,8.986844643189793,,False,8.627963815173377
pacifiction,8.957251211918045,9.0,True,8.604477028802888
anne-of-green-gables,8.954964360406494,9.8,True,9.39449516185122
do-not-expect-too-much-from-the-end-of-the-world,8.945490110961954,9.2,True,8.89407863747223
the-bitter-tears-of-petra-von-kant,8.918307308058175,8.2,True,8.599891620556198
the-master,8.915518554297245,9.3,True,8.126408959568108
rara,8.90394558263997,8.8,True,8.67536804257829
burning,8.890486034397899,,False,8.537444090404783
mississippi-masala,8.882452169571607,9.0,True,8.93311582773499
paju,8.882103983523614,9.2,True,8.79952041046757
a-place-further-than-the-universe,8.847718341126358,9.2,True,8.615675999289591
the-passion-of-joan-of-arc,8.844365389831358,,False,9.028485398853338
before-sunset,8.835763834286553,8.5,True,8.826839079014915
mulholland-drive,8.835367106118122,9.2,True,8.053677711340837
perfect-blue,8.834723159915518,,False,7.898737400401954
godzilla,8.825076038594876,,False,7.842060184922793
little-white-dove,8.815078163234372,8.5,True,8.423553888834684
night-of-the-living-dead,8.812485552125642,,False,8.611262263542056
kikis-delivery-service,8.810062615169405,8.5,True,7.856588956876536
her,8.80726881949533,8.2,True,8.224096769817002
happy-go-lucky,8.804454490399463,9.0,True,7.45626924522975
memories-of-murder,8.801524984742644,8.0,True,8.440007122719859
gueros,8.797468015800721,8.5,True,8.629855434148505
blade-runner,8.797102349368648,8.5,True,8.820435275130802
mommy,8.783555748785986,8.5,True,8.709507194096657
arrival,8.777859574044054,8.8,True,9.022250600082051
ran,8.771696010902716,9.0,True,8.855442869038631
lady-bird,8.762934884783402,,False,9.07094982375291
